cpus=2
              ip-1803  [001] ...1.   142.383724: funcgraph_entry:                   |  inet6addr_event() {
              ip-1803  [001] ...1.   142.383725: funcgraph_entry:                   |    addr_event.isra.0() {
              ip-1803  [001] ...1.   142.383726: funcgraph_entry:                   |      __kmalloc_cache_noprof() {
              ip-1803  [001] d..2.   142.383729: funcgraph_entry:        0.430 us   |        irq_enter_rcu(); (ret=0x0)
              ip-1803  [001] d.h2.   142.383730: funcgraph_entry:                   |        __sysvec_call_function_single() {
              ip-1803  [001] d.h2.   142.383730: funcgraph_entry:                   |          generic_smp_call_function_single_interrupt() {
              ip-1803  [001] d.h2.   142.383730: funcgraph_entry:                   |            __flush_smp_call_function_queue() {
              ip-1803  [001] d.h2.   142.383730: funcgraph_entry:                   |              sched_ttwu_pending() {
              ip-1803  [001] d.h2.   142.383731: funcgraph_entry:                   |                raw_spin_rq_lock_nested.constprop.0() {
              ip-1803  [001] d.h3.   142.383731: funcgraph_entry:        0.230 us   |                  _raw_spin_lock(); (ret=0x0)
              ip-1803  [001] d.h3.   142.383731: funcgraph_exit:         0.680 us   |                } (ret=0x0)
              ip-1803  [001] d.h3.   142.383732: funcgraph_entry:                   |                update_rq_clock() {
              ip-1803  [001] d.h3.   142.383732: funcgraph_entry:        0.200 us   |                  arch_scale_cpu_capacity(); (ret=0x400)
              ip-1803  [001] d.h3.   142.383732: funcgraph_exit:         0.740 us   |                } (ret=0x0)
              ip-1803  [001] d.h3.   142.383733: funcgraph_entry:                   |                ttwu_do_activate() {
              ip-1803  [001] d.h3.   142.383733: funcgraph_entry:                   |                  enqueue_task() {
              ip-1803  [001] d.h3.   142.383733: funcgraph_entry:                   |                    enqueue_task_fair() {
              ip-1803  [001] d.h3.   142.383733: funcgraph_entry:                   |                      update_curr() {
              ip-1803  [001] d.h3.   142.383734: funcgraph_entry:                   |                        update_se() {
              ip-1803  [001] d.h3.   142.383734: funcgraph_entry:        0.260 us   |                          cpuacct_charge(); (ret=0x0)
              ip-1803  [001] d.h3.   142.383734: funcgraph_entry:                   |                          __cgroup_account_cputime() {
              ip-1803  [001] d.h4.   142.383735: funcgraph_entry:        0.220 us   |                            __css_rstat_updated(); (ret=0x0)
              ip-1803  [001] d.h3.   142.383735: funcgraph_exit:         0.690 us   |                          } (ret=0x0)
              ip-1803  [001] d.h3.   142.383735: funcgraph_exit:         1.670 us   |                        } (ret=0x33de3)
              ip-1803  [001] d.h3.   142.383736: funcgraph_entry:                   |                        dl_server_update() {
              ip-1803  [001] d.h3.   142.383736: funcgraph_entry:        0.210 us   |                          update_curr_dl_se(); (ret=0x0)
              ip-1803  [001] d.h3.   142.383736: funcgraph_exit:         0.670 us   |                        } (ret=0x0)
              ip-1803  [001] d.h3.   142.383737: funcgraph_exit:         3.050 us   |                      } (ret=0x0)
              ip-1803  [001] d.h3.   142.383737: funcgraph_entry:        0.300 us   |                      update_curr(); (ret=0x0)
              ip-1803  [001] d.h3.   142.383738: funcgraph_entry:        0.260 us   |                      __update_load_avg_se(); (ret=0x1)
              ip-1803  [001] d.h3.   142.383738: funcgraph_entry:        0.320 us   |                      __update_load_avg_cfs_rq(); (ret=0x1)
              ip-1803  [001] d.h3.   142.383739: funcgraph_entry:        0.280 us   |                      account_llc_enqueue(); (ret=0x0)
              ip-1803  [001] d.h3.   142.383740: funcgraph_entry:        0.210 us   |                      update_curr(); (ret=0x0)
              ip-1803  [001] d.h3.   142.383740: funcgraph_entry:        0.240 us   |                      __update_load_avg_se(); (ret=0x1)
              ip-1803  [001] d.h3.   142.383741: funcgraph_entry:        0.250 us   |                      __update_load_avg_cfs_rq(); (ret=0x1)
              ip-1803  [001] d.h3.   142.383741: funcgraph_entry:                   |                      calc_concur_shares() {
              ip-1803  [001] d.h3.   142.383741: funcgraph_entry:        0.200 us   |                        tg_cpus(); (ret=0x2)
              ip-1803  [001] d.h3.   142.383742: funcgraph_entry:        0.220 us   |                        __calc_smp_shares(); (ret=0x100000)
              ip-1803  [001] d.h3.   142.383742: funcgraph_exit:         1.260 us   |                      } (ret=0x100000)
              ip-1803  [001] d.h3.   142.383743: funcgraph_entry:        0.220 us   |                      reweight_entity(); (ret=0x0)
